Brand,Name,MinPrice,MaxPrice,bodyType,Transmission,Seater,Performance,Comfort,Features,Safety,Mileage,CityUseScore,HighWayUseScore,ResaleValue,Rating,MaintenanceRating,FuelType
Tata,Punch,600000,900000,SUV,Manual,5,2,4,3,4,4,5,3,4,4,4,Petrol
Hyundai,i20,700000,1100000,Hatchback,Manual,5,3,4,4,3,4,5,4,4,4,4,Petrol
Maruti,Swift,600000,900000,Hatchback,Manual,5,3,3,3,3,5,5,3,5,4,5,Petrol
Tata,Nexon,800000,1400000,SUV,Manual,5,3,4,4,5,4,4,4,4,4,4,Petrol
Hyundai,Creta,1100000,2000000,SUV,Automatic,5,4,5,5,4,4,4,5,4,4,4,Petrol
Kia,Seltos,1100000,2000000,SUV,Automatic,5,4,5,5,4,4,4,5,4,4,4,Petrol
Mahindra,Thar,1200000,1700000,SUV,Manual,4,4,3,3,4,2,3,5,4,4,3,Diesel
Toyota,Fortuner,3300000,5000000,SUV,Automatic,7,4,5,4,5,3,3,5,5,5,3,Diesel
BMW,X5,9500000,11000000,SUV,Automatic,5,5,5,5,5,3,3,5,2,4,2,Petrol
Tesla,Model3,6000000,7000000,Sedan,Automatic,5,4,5,5,5,5,5,4,3,4,4,Electric
Tata,Altroz,700000,1100000,Hatchback,Manual,5,3,4,4,5,4,5,4,4,4,4,Petrol
Tata,Harrier,1500000,2500000,SUV,Automatic,5,4,5,5,5,3,3,5,4,4,3,Petrol
Tata,Safari,1600000,2600000,SUV,Automatic,7,4,5,5,5,3,3,5,4,4,3,Petrol
Tata,Tiago,500000,800000,Hatchback,Manual,5,2,3,3,4,5,5,3,4,4,5,Petrol
Tata,Tigor,600000,900000,Sedan,Manual,5,2,3,3,4,5,5,3,4,4,5,Petrol
Tata,Curvv,1200000,2000000,SUV,Automatic,5,4,5,5,5,4,4,5,4,4,4,Petrol
Tata,PunchEV,1000000,1500000,SUV,Automatic,5,3,4,4,5,5,5,4,4,4,4,Electric
Tata,NexonEV,1400000,2000000,SUV,Automatic,5,4,5,5,5,5,5,4,4,4,4,Electric
Maruti,Baleno,700000,1100000,Hatchback,Manual,5,3,4,4,3,5,5,4,5,4,5,Petrol
Maruti,Brezza,800000,1400000,SUV,Automatic,5,3,4,4,4,4,4,4,5,4,5,Petrol
Maruti,Fronx,700000,1200000,SUV,Manual,5,3,4,4,3,5,5,4,5,4,5,Petrol
Maruti,Ertiga,900000,1500000,MPV,Manual,7,3,4,4,4,5,5,4,5,4,5,Petrol
Maruti,XL6,1100000,1800000,MPV,Automatic,6,3,5,5,4,4,4,5,5,4,5,Petrol
Maruti,Dzire,600000,1000000,Sedan,Manual,5,2,3,3,3,5,5,3,5,4,5,Petrol
Maruti,Celerio,500000,800000,Hatchback,Manual,5,2,3,3,3,5,5,3,5,4,5,Petrol
Maruti,AltoK10,400000,600000,Hatchback,Manual,5,1,2,2,2,5,5,2,5,4,5,Petrol
Maruti,GrandVitara,1200000,2000000,SUV,Automatic,5,4,5,5,5,4,4,5,5,4,5,Hybrid
Hyundai,Venue,800000,1400000,SUV,Manual,5,3,4,4,4,4,5,4,4,4,4,Petrol
Hyundai,Verna,1100000,1800000,Sedan,Automatic,5,4,5,5,4,4,4,5,4,4,4,Petrol
Hyundai,Exter,600000,1000000,SUV,Manual,5,2,4,3,4,5,5,3,4,4,4,Petrol
Hyundai,Alcazar,1500000,2500000,SUV,Automatic,7,4,5,5,5,3,3,5,4,4,3,Petrol
Hyundai,Aura,600000,900000,Sedan,Manual,5,2,3,3,3,5,5,3,4,4,4,Petrol
Hyundai,Grandi10,600000,900000,Hatchback,Manual,5,2,3,3,3,5,5,3,4,4,4,Petrol
Hyundai,Tucson,2800000,3500000,SUV,Automatic,5,4,5,5,5,3,3,5,4,4,3,Petrol
Hyundai,KonaEV,2000000,2500000,SUV,Automatic,5,4,5,5,5,5,5,4,4,4,4,Electric
Kia,Sonet,800000,1400000,SUV,Manual,5,3,4,4,4,4,5,4,4,4,4,Petrol
Kia,Carens,1000000,1800000,MPV,Automatic,7,3,5,5,4,4,4,5,4,4,4,Petrol
Kia,Carnival,3000000,4000000,MPV,Automatic,7,4,5,5,5,3,3,5,4,4,3,Petrol
Kia,EV6,6000000,7000000,SUV,Automatic,5,5,5,5,5,5,5,5,3,5,3,Electric
Mahindra,ScorpioN,1300000,2200000,SUV,Automatic,7,4,5,4,5,3,3,5,4,4,3,Diesel
Mahindra,XUV700,1400000,2500000,SUV,Automatic,7,4,5,5,5,3,3,5,4,4,3,Diesel
Mahindra,XUV300,800000,1400000,SUV,Manual,5,3,4,4,5,4,5,4,4,4,4,Petrol
Mahindra,Bolero,900000,1200000,SUV,Manual,7,2,3,2,4,4,4,3,4,4,4,Diesel
Mahindra,Marazzo,1100000,1800000,MPV,Manual,7,3,5,4,4,4,4,5,4,4,4,Diesel
Mahindra,XUV3XO,900000,1500000,SUV,Automatic,5,3,4,4,5,4,5,4,4,4,4,Petrol
Toyota,InnovaCrysta,1900000,2600000,MPV,Manual,7,3,5,4,5,4,4,5,5,5,4,Petrol
Toyota,InnovaHycross,2000000,3000000,MPV,Automatic,7,4,5,5,5,5,5,5,5,5,4,Hybrid
